2025-06-20 18:34:18,831 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,851 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2084 (threshold: 0.4)
2025-06-20 18:34:18,898 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,918 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2132 (threshold: 0.4)
2025-06-20 18:34:18,963 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:18,983 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2110 (threshold: 0.4)
2025-06-20 18:34:19,031 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:19,050 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.1946 (threshold: 0.4)
2025-06-20 18:34:19,097 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:19,117 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.1974 (threshold: 0.4)
2025-06-20 18:34:19,164 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:19,184 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2116 (threshold: 0.4)
2025-06-20 18:34:19,230 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:19,250 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2041 (threshold: 0.4)
2025-06-20 18:34:19,299 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:19,319 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2046 (threshold: 0.4)
2025-06-20 18:34:19,364 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:19,385 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2025 (threshold: 0.4)
2025-06-20 18:34:19,433 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:19,453 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.1910 (threshold: 0.4)
2025-06-20 18:34:19,498 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:19,518 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.1843 (threshold: 0.4)
2025-06-20 18:34:19,564 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,597 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,629 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,664 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,698 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,731 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,763 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,797 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,830 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,899 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,931 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,964 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:19,997 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,030 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,099 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,132 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,164 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,196 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,216 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2020 (threshold: 0.4)
2025-06-20 18:34:20,265 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,285 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2076 (threshold: 0.4)
2025-06-20 18:34:20,331 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,351 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2081 (threshold: 0.4)
2025-06-20 18:34:20,397 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,430 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,450 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2083 (threshold: 0.4)
2025-06-20 18:34:20,499 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,519 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2095 (threshold: 0.4)
2025-06-20 18:34:20,564 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,583 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2119 (threshold: 0.4)
2025-06-20 18:34:20,629 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:20,649 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2067 (threshold: 0.4)
2025-06-20 18:34:20,699 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,731 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:20,764 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
